Date,Method,Stalk Interactions,Variety,Section,Stalk Number,Mean,Median,Std_Dev,Coeff. Var.
08_07,DARLING,Not Controlled,Ornamental,11-B WE,S01,10.005,9.359,2.065,0.2206
08_07,DARLING,Not Controlled,Ornamental,11-B WE,S02,10.495,10.228,3.006,0.2939
08_07,DARLING,Not Controlled,Ornamental,11-B WE,S03,4.567,4.594,0.788,0.1715
08_07,DARLING,Not Controlled,Ornamental,11-B WE,S04,5.88,5.872,0.686,0.1168
08_07,DARLING,Not Controlled,Ornamental,11-B WE,S05,6.67,6.761,0.358,0.053
08_07,Hi-STIFS,Not Controlled,Ornamental,11-B WE,S01,8.7059,7.2687,3.8381,0.528
08_07,Hi-STIFS,Not Controlled,Ornamental,11-B WE,S02,15.1718,10.4883,13.9487,1.3299
08_07,Hi-STIFS,Not Controlled,Ornamental,11-B WE,S03,2.3426,1.2387,1.941,1.567
08_07,Hi-STIFS,Not Controlled,Ornamental,11-B WE,S04,6.9624,6.5316,2.877,0.4405
08_07,Hi-STIFS,Not Controlled,Ornamental,11-B WE,S05,1.6195,0.7105,1.4822,2.0861
08_07,DARLING,Not Controlled,Vigor Root,12-C WE,S01,33.304,32.897,7.613,0.2314
08_07,DARLING,Not Controlled,Vigor Root,12-C WE,S02,22.822,20.909,4.694,0.2245
08_07,DARLING,Not Controlled,Vigor Root,12-C WE,S03,25.807,25.383,2.675,0.1054
08_07,DARLING,Not Controlled,Vigor Root,12-C WE,S04,20.981,21.198,1.378,0.065
08_07,DARLING,Not Controlled,Vigor Root,12-C WE,S05,23.292,20.793,3.58,0.1722
08_07,DARLING,Not Controlled,Vigor Root,12-C WE,S06,10.645,10.685,1.538,0.1439
08_07,DARLING,Not Controlled,Vigor Root,12-C WE,S07,20.666,20.524,4.489,0.2187
08_07,DARLING,Not Controlled,Vigor Root,12-C WE,S08,13.766,14.113,2.052,0.1454
08_07,DARLING,Not Controlled,Vigor Root,12-C WE,S09,17.455,17.377,1.088,0.0626
08_07,Hi-STIFS,Not Controlled,Vigor Root,12-C WE,S01,30.8765,29.1463,7.2519,0.2488
08_07,Hi-STIFS,Not Controlled,Vigor Root,12-C WE,S02,38.4542,37.306,16.5377,0.4433
08_07,Hi-STIFS,Not Controlled,Vigor Root,12-C WE,S03,33.6201,37.0574,9.4743,0.2557
08_07,Hi-STIFS,Not Controlled,Vigor Root,12-C WE,S04,26.5785,26.4623,3.7784,0.1428
08_07,Hi-STIFS,Not Controlled,Vigor Root,12-C WE,S05,24.1263,24.0577,8.3991,0.3491
08_07,Hi-STIFS,Not Controlled,Vigor Root,12-C WE,S06,14.453,13.1749,4.3344,0.329
08_07,Hi-STIFS,Not Controlled,Vigor Root,12-C WE,S07,16.9494,17.3045,5.358,0.3096
08_07,Hi-STIFS,Not Controlled,Vigor Root,12-C WE,S08,20.2384,20.0986,5.5707,0.2772
08_07,Hi-STIFS,Not Controlled,Vigor Root,12-C WE,S09,21.5494,21.4024,4.4578,0.2083
08_07,DARLING,Not Controlled,Popcorn,13-B WE,S01,36.553,35.571,5.145,0.1446
08_07,DARLING,Not Controlled,Popcorn,13-B WE,S02,52.864,51.891,5.562,0.1072
08_07,DARLING,Not Controlled,Popcorn,13-B WE,S03,41.011,38.954,8.92,0.229
08_07,DARLING,Not Controlled,Popcorn,13-B WE,S04,32.68,32.993,4.174,0.1265
08_07,DARLING,Not Controlled,Popcorn,13-B WE,S05,28.212,26.66,4.343,0.1629
08_07,DARLING,Not Controlled,Popcorn,13-B WE,S06,36.397,36.259,4.877,0.1345
08_07,DARLING,Not Controlled,Popcorn,13-B WE,S07,44.279,44.627,2.748,0.0616
08_07,DARLING,Not Controlled,Popcorn,13-B WE,S08,4.112,4.169,0.407,0.0976
08_07,DARLING,Not Controlled,Popcorn,13-B WE,S09,15.175,14.671,2.956,0.2015
08_07,Hi-STIFS,Not Controlled,Popcorn,13-B WE,S01,31.3298,29.8546,4.0294,0.135
08_07,Hi-STIFS,Not Controlled,Popcorn,13-B WE,S02,61.9396,65.5013,7.0071,0.107
08_07,Hi-STIFS,Not Controlled,Popcorn,13-B WE,S03,45.4577,44.9936,4.4827,0.0996
08_07,Hi-STIFS,Not Controlled,Popcorn,13-B WE,S04,57.9996,56.6216,11.0336,0.1949
08_07,Hi-STIFS,Not Controlled,Popcorn,13-B WE,S05,26.5349,25.6443,5.3254,0.2077
08_07,Hi-STIFS,Not Controlled,Popcorn,13-B WE,S06,60.535,56.4843,14.0401,0.2486
08_07,Hi-STIFS,Not Controlled,Popcorn,13-B WE,S07,58.9001,58.4036,7.2001,0.1233
08_07,Hi-STIFS,Not Controlled,Popcorn,13-B WE,S08,5.2992,4.85,1.2416,0.256
08_07,Hi-STIFS,Not Controlled,Popcorn,13-B WE,S09,24.4939,24.2609,4.7656,0.1964
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S01,4.754,4.189,0.973,0.2323
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S02,11.286,11.422,1.399,0.1225
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S03,5.784,5.942,0.575,0.0968
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S04,11.667,12.155,1.376,0.1132
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S05,18.226,18.134,1.683,0.0928
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S06,10.708,11.574,1.787,0.1544
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S07,14.081,14.52,1.968,0.1355
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S08,6.949,6.98,0.261,0.0374
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S09,13.608,13.344,1.282,0.0961
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S10,8.705,7.938,2.464,0.3104
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S11,9.097,9.354,0.893,0.0955
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S12,10.411,9.422,1.98,0.2101
08_07,DARLING,Not Controlled,Xtra Early 320,15-A WE,S13,8.176,7.972,1.312,0.1646
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S01,8.1847,6.4573,4.8746,0.7549
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S02,12.9916,12.8441,2.3875,0.1859
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S03,7.9179,7.9712,1.9044,0.2389
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S04,14.3753,14.5152,4.0599,0.2797
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S05,24.2942,21.1521,9.8395,0.4652
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S06,3.8478,2.9597,5.4045,1.826
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S07,61.5412,29.0,10.5045,0.3622
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S08,22.9392,21.2097,8.2739,0.3901
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S09,25.2914,24.7523,8.3104,0.3357
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S10,9.0463,8.7553,1.948,0.2225
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S11,12.551,11.6989,2.4653,0.2107
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S12,19.1723,18.8641,3.29,0.1744
08_07,Hi-STIFS,Not Controlled,Xtra Early 320,15-A WE,S13,30.1911,28.3063,8.8181,0.3115
08_22,DARLING,Isolated,Ornamental,6-A Iso,S01,3.889,3.886,0.386,0.0993
08_22,DARLING,Isolated,Ornamental,6-A Iso,S02,11.007,11.647,2.21,0.1897
08_22,DARLING,Isolated,Ornamental,6-A Iso,S03,1.313,1.395,0.197,0.1412
08_22,DARLING,Isolated,Ornamental,6-A Iso,S04,0.173,0.161,0.043,0.2671
08_22,DARLING,Isolated,Ornamental,6-A Iso,S05,5.811,5.622,0.98,0.1743
08_22,DARLING,Isolated,Ornamental,6-A Iso,S06,10.903,11.215,1.505,0.1342
08_22,DARLING,Isolated,Ornamental,6-A Iso,S07,4.923,4.496,0.776,0.1726
08_22,DARLING,Isolated,Ornamental,6-A Iso,S08,14.18,13.817,1.899,0.1374
08_22,Hi-STIFS,Isolated,Ornamental,6-A Iso,S01,5.8841,3.6805,5.3674,1.4583
08_22,Hi-STIFS,Isolated,Ornamental,6-A Iso,S02,12.2156,12.3931,1.6444,0.1327
08_22,Hi-STIFS,Isolated,Ornamental,6-A Iso,S03,7.6427,7.58,2.6474,0.3493
08_22,Hi-STIFS,Isolated,Ornamental,6-A Iso,S04,3.6362,3.7904,1.0098,0.2664
08_22,Hi-STIFS,Isolated,Ornamental,6-A Iso,S05,9.031,8.9899,1.2058,0.1341
08_22,Hi-STIFS,Isolated,Ornamental,6-A Iso,S06,8.0925,8.1641,1.7559,0.2151
08_22,Hi-STIFS,Isolated,Ornamental,6-A Iso,S07,6.4596,6.5294,1.3667,0.2093
08_22,Hi-STIFS,Isolated,Ornamental,6-A Iso,S08,16.8877,17.4617,1.8943,0.1085
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S01,12.331,12.578,1.311,0.1042
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S02,11.248,11.699,1.392,0.119
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S03,12.689,13.061,0.882,0.0675
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S04,20.087,20.214,0.849,0.042
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S05,19.077,19.136,1.586,0.0829
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S06,23.4,23.365,1.909,0.0817
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S07,13.853,13.738,0.677,0.0493
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S08,11.448,11.341,1.004,0.0885
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S09,18.081,18.195,0.954,0.0524
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S10,25.379,25.362,0.837,0.033
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S11,20.442,20.428,1.258,0.0616
08_22,DARLING,Isolated,Vigor Root,7-A Iso,S12,14.821,15.073,1.023,0.0679
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S01,11.651,11.7204,1.9361,0.1652
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S02,12.1074,9.1737,6.3977,0.6974
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S03,12.429,12.537,1.4319,0.1142
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S04,19.9677,20.0725,2.1311,0.1062
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S05,22.9101,22.9997,1.2957,0.0563
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S06,33.8524,34.8824,3.5207,0.1009
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S07,17.7411,16.1188,5.7175,0.3547
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S08,18.7216,18.6542,2.1187,0.1136
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S09,14.2852,13.9991,2.9885,0.2135
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S10,28.7461,27.4576,8.4574,0.308
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S11,31.8855,32.6061,5.2012,0.1595
08_22,Hi-STIFS,Isolated,Vigor Root,7-A Iso,S12,17.8824,19.01,2.3612,0.1242
08_22,DARLING,Isolated,Vigor Root,7-B Iso,S01,22.214,22.744,2.027,0.0891
08_22,DARLING,Isolated,Vigor Root,7-B Iso,S02,37.511,37.779,1.12,0.0296
08_22,DARLING,Isolated,Vigor Root,7-B Iso,S03,8.808,8.71,0.61,0.07
08_22,DARLING,Isolated,Vigor Root,7-B Iso,S04,31.483,33.679,4.82,0.1431
08_22,Hi-STIFS,Isolated,Vigor Root,7-B Iso,S01,19.6746,20.7858,3.953,0.1902
08_22,Hi-STIFS,Isolated,Vigor Root,7-B Iso,S02,34.5267,33.2425,11.9474,0.3594
08_22,Hi-STIFS,Isolated,Vigor Root,7-B Iso,S03,14.08,14.5974,4.9195,0.337
08_22,Hi-STIFS,Isolated,Vigor Root,7-B Iso,S04,43.6194,44.0864,10.1316,0.2298
08_22,DARLING,Isolated,Popcorn,8-C Iso,S01,13.612,13.423,0.94,0.07
08_22,DARLING,Isolated,Popcorn,8-C Iso,S02,35.836,34.575,4.608,0.1333
08_22,DARLING,Isolated,Popcorn,8-C Iso,S03,25.091,25.887,5.032,0.1944
08_22,DARLING,Isolated,Popcorn,8-C Iso,S04,38.243,40.959,6.459,0.1577
08_22,DARLING,Isolated,Popcorn,8-C Iso,S05,33.237,33.853,3.781,0.1117
08_22,DARLING,Isolated,Popcorn,8-C Iso,S06,44.855,46.575,7.309,0.1569
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S01,25.9514,25.0579,5.069,0.2023
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S02,51.6044,46.8047,13.3196,0.2846
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S03,40.4062,45.1991,10.9591,0.2425
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S04,33.7088,33.7102,8.3946,0.249
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S05,34.2802,32.8496,8.1052,0.2467
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S06,71.7457,73.0855,10.7927,0.1477
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S01,7.117,7.39,1.799,0.2434
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S02,4.06,3.905,0.326,0.0835
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S03,8.497,8.394,0.753,0.0897
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S04,2.84,2.771,0.573,0.2068
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S05,7.835,9.858,5.146,0.522
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S06,8.789,8.981,0.816,0.0909
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S01,8.4961,7.2526,3.492,0.4815
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S02,6.8654,7.3316,1.1528,0.1572
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S03,15.0854,15.1946,4.6076,0.3032
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S04,3.9885,4.0139,0.8094,0.2016
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S05,11.1623,9.0473,5.939,0.6564
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S06,10.8488,11.3167,3.6215,0.32
08_22,DARLING,Interaction,Vigor Root,7-B,S01,32.777,34.688,3.72,0.1072
08_22,DARLING,Interaction,Vigor Root,7-B,S02,31.057,30.191,2.546,0.0843
08_22,DARLING,Interaction,Vigor Root,7-B,S03,36.624,48.298,22.008,0.4557
08_22,DARLING,Interaction,Vigor Root,7-B,S04,31.248,31.001,0.992,0.032
08_22,DARLING,Interaction,Vigor Root,7-B,S05,10.924,10.606,0.793,0.0748
08_22,DARLING,Interaction,Vigor Root,7-B,S06,33.361,35.526,4.091,0.1152
08_22,DARLING,Interaction,Vigor Root,7-B,S07,39.491,38.815,2.816,0.0725
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S01,27.42,26.1807,10.5857,0.4043
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S02,63.3421,66.0439,12.797,0.1938
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S03,31.1295,36.9783,11.0102,0.2977
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S04,27.4759,23.2223,12.5265,0.5394
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S05,20.692,20.5344,4.225,0.2057
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S06,28.5424,25.7483,7.5761,0.2942
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S07,46.5245,46.9954,9.6661,0.2057
08_22,DARLING,Interaction,Popcorn,8-C,S01,43.885,47.447,10.627,0.224
08_22,DARLING,Interaction,Popcorn,8-C,S02,34.295,34.46,4.442,0.1289
08_22,DARLING,Interaction,Popcorn,8-C,S03,35.337,35.939,7.373,0.2052
08_22,DARLING,Interaction,Popcorn,8-C,S04,21.377,21.066,3.964,0.1882
08_22,DARLING,Interaction,Popcorn,8-C,S05,41.828,43.722,4.22,0.0965
08_22,DARLING,Interaction,Popcorn,8-C,S06,35.327,35.347,4.175,0.1181
08_22,DARLING,Interaction,Popcorn,8-C,S07,34.373,34.411,1.26,0.0366
08_22,DARLING,Interaction,Popcorn,8-C,S08,32.752,33.316,2.614,0.0785
08_22,DARLING,Interaction,Popcorn,8-C,S09,7.627,7.625,0.265,0.0348
08_22,DARLING,Interaction,Popcorn,8-C,S10,36.836,37.426,1.838,0.0491
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S01,13.0161,13.3886,4.0401,0.3018
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S02,43.2016,43.2293,19.8789,0.4598
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S03,65.0199,65.003,18.4941,0.2845
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S04,46.3228,48.1483,11.1979,0.2326
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S05,42.2785,41.267,10.0195,0.2428
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S06,41.3409,41.0823,10.8829,0.2649
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S07,29.7994,28.3302,11.6116,0.4099
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S08,38.6505,35.7146,9.1204,0.2554
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S09,14.8168,14.2036,2.9851,0.2102
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S10,91.7793,88.8339,12.8366,0.1445
08_22,DARLING,Interaction,Xtra Early 320,10-A,S01,10.67,10.63,0.672,0.0632
08_22,DARLING,Interaction,Xtra Early 320,10-A,S02,4.148,2.293,3.088,1.3467
08_22,DARLING,Interaction,Xtra Early 320,10-A,S03,13.22,14.513,2.199,0.1515
08_22,DARLING,Interaction,Xtra Early 320,10-A,S04,1.692,1.73,0.213,0.1231
08_22,DARLING,Interaction,Xtra Early 320,10-A,S05,8.12,8.352,0.814,0.0975
08_22,DARLING,Interaction,Xtra Early 320,10-A,S06,7.908,8.337,1.03,0.1235
08_22,DARLING,Interaction,Xtra Early 320,10-A,S07,11.728,11.487,0.538,0.0468
08_22,DARLING,Interaction,Xtra Early 320,10-A,S08,1.541,1.577,0.075,0.0476
08_22,DARLING,Interaction,Xtra Early 320,10-A,S09,0.298,0.269,0.09,0.3346
08_22,DARLING,Interaction,Xtra Early 320,10-A,S10,12.626,12.705,0.312,0.0246
08_22,DARLING,Interaction,Xtra Early 320,10-A,S11,14.459,14.139,0.718,0.0508
08_22,DARLING,Interaction,Xtra Early 320,10-A,S12,10.695,10.581,0.644,0.0609
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S01,20.0163,20.2684,5.9302,0.2926
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S02,23.2053,21.0311,5.9383,0.2824
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S03,29.4091,23.7739,9.6054,0.404
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S04,6.7159,6.7986,1.9731,0.2902
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S05,19.4955,20.2139,4.572,0.2262
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S06,13.1293,15.1023,4.8549,0.3215
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S07,15.917,16.0824,2.223,0.1382
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S08,7.1586,5.6968,3.2832,0.5763
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S09,2.2514,2.2514,nan,nan
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S10,19.3339,19.8697,7.0573,0.3552
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S11,44.9686,42.0433,13.79,0.328
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S12,16.2779,15.2064,5.8786,0.3866
